config,stream,np,dd,pf,ndd,trades,wr
baseline,S1,3418.800000000014,818.3999999999978,1.3865671641791064,4.1774193548387375,246,35.77235772357724
baseline,S2,3522.75,673.2000000000044,1.4216589861751152,5.232843137254868,246,39.83739837398374
baseline,S3,3894.0000000000528,608.2999999999956,1.4865979381443362,6.401446654611345,246,44.71544715447154
baseline,S4,3744.0,980.0,1.4534883720930232,3.820408163265306,123,42.27642276422765
baseline,S5,2504.000000000029,912.0,1.3428258488499498,2.745614035087751,246,46.34146341463415
baseline,S6,2922.4000000000506,748.7999999999738,1.453507138423347,3.902777777777982,246,53.2520325203252
V1_trail_w3,S1,2318.360000000037,819.0599999999904,1.3043102169612866,2.830513027128738,246,36.99186991869919
V1_trail_w3,S2,3009.6200000000026,704.0,1.4098501747189929,4.275028409090913,246,40.65040650406504
V1_trail_w3,S3,3270.880000000059,744.5999999999913,1.4637960640405276,4.39280150416344,246,44.3089430894309
V1_trail_w3,S4,3666.0599999999886,1150.9800000000087,1.460595598406409,3.1851639472449227,123,41.46341463414634
V1_trail_w3,S5,2524.04000000003,847.5200000000259,1.3548049728137153,2.978148008306533,246,45.9349593495935
V1_trail_w3,S6,2938.5600000000522,731.759999999962,1.4691067916528395,4.015742866513891,246,52.84552845528455
V1_trail_w5,S1,2947.74000000002,746.5200000000004,1.3524807362092335,3.9486416974763143,246,37.80487804878049
V1_trail_w5,S2,3515.2000000000007,602.339999999982,1.4474655668423335,5.835906630806697,246,41.46341463414634
V1_trail_w5,S3,3828.4700000000503,616.3199999999815,1.5143352683471485,6.2118217808933105,246,46.34146341463415
V1_trail_w5,S4,3744.0,980.0,1.4534883720930232,3.820408163265306,123,42.27642276422765
V1_trail_w5,S5,2504.000000000029,912.0,1.3428258488499498,2.745614035087751,246,46.34146341463415
V1_trail_w5,S6,2922.4000000000506,748.7999999999738,1.453507138423347,3.902777777777982,246,53.2520325203252
V2_confirm_w3,S1,9112.400000000023,880.0,1.9980722891566292,10.355000000000027,226,45.13274336283185
V2_confirm_w3,S2,8080.050000000003,742.5,1.9564453125000003,10.882222222222227,226,48.23008849557522
V2_confirm_w3,S3,6535.099999999969,693.0,1.8529791816223946,9.430158730158686,226,50.442477876106196
V2_confirm_w3,S4,8160.0,696.0,2.0782241014799157,11.724137931034482,113,51.32743362831859
V2_confirm_w3,S5,6528.000000000007,680.0,2.025125628140705,9.60000000000001,226,56.63716814159292
V2_confirm_w3,S6,6341.600000000024,336.00000000000364,2.170036900369007,18.873809523809392,226,62.83185840707964
V2_confirm_w5,S1,14016.200000000012,907.5,2.5596083231334164,15.444848484848498,222,51.35135135135135
V2_confirm_w5,S2,11725.45,858.0,2.4222148098732488,13.666025641025643,222,53.153153153153156
V2_confirm_w5,S3,9904.399999999972,792.0,2.324117647058821,12.505555555555521,222,55.85585585585585
V2_confirm_w5,S4,12840.0,764.0,2.7676211453744495,16.80628272251309,111,58.55855855855856
V2_confirm_w5,S5,10370.400000000016,640.0,2.7917069799585366,16.203750000000024,222,64.41441441441441
V2_confirm_w5,S6,9166.400000000027,374.3999999999869,2.848064516129039,24.48290598290691,222,68.91891891891892
V3_range_w3,S1,4469.300000000021,914.0999999999967,1.5101067168863802,4.889290012033735,224,38.392857142857146
V3_range_w3,S2,4057.350000000013,709.5000000000036,1.507359009628613,5.71860465116278,224,41.517857142857146
V3_range_w3,S3,3630.0000000000764,646.8000000000065,1.4782608695652275,5.612244897959245,224,44.642857142857146
V3_range_w3,S4,4016.0,812.0,1.5357524012806831,4.945812807881773,112,43.75
V3_range_w3,S5,2596.0000000000437,708.7999999999956,1.393571861734391,3.662528216704373,224,47.32142857142857
V3_range_w3,S6,2881.600000000053,619.1999999999898,1.4874154262517005,4.653746770026002,224,53.57142857142857
V3_range_w5,S1,3562.900000000027,686.3999999999978,1.4259040105193983,5.190705128205184,216,37.03703703703704
V3_range_w5,S2,3432.550000000021,653.3999999999978,1.445467523197718,5.253367003367053,216,40.74074074074074
V3_range_w5,S3,3155.9000000000888,739.2000000000044,1.4275707898658838,4.269345238095333,216,43.98148148148148
V3_range_w5,S4,3360.0,804.0,1.4661487236403996,4.17910447761194,108,42.592592592592595
V3_range_w5,S5,2126.4000000000324,708.7999999999956,1.3368821292775717,3.000000000000064,216,46.2962962962963
V3_range_w5,S6,2426.400000000038,592.7999999999829,1.4268824771287916,4.093117408907064,216,52.77777777777778
