mechanism,tiers,spacing,stream,n,np,wr,fold,ext_pts,tp_mult
multi-tier,1.0,0.15,S1,74,-258.0,20.3,W1_IS,,
multi-tier,1.0,0.15,S2,60,524.0,21.7,W1_IS,,
multi-tier,1.0,0.15,S3,68,39.0,22.1,W1_IS,,
multi-tier,1.0,0.15,S4,60,940.0,25.0,W1_IS,,
multi-tier,1.0,0.15,S5,64,-330.0,18.8,W1_IS,,
multi-tier,1.0,0.15,S6,76,-468.0,17.1,W1_IS,,
multi-tier,1.0,0.3,S1,74,-258.0,20.3,W1_IS,,
multi-tier,1.0,0.3,S2,60,524.0,21.7,W1_IS,,
multi-tier,1.0,0.3,S3,68,39.0,22.1,W1_IS,,
multi-tier,1.0,0.3,S4,60,940.0,25.0,W1_IS,,
multi-tier,1.0,0.3,S5,64,-330.0,18.8,W1_IS,,
multi-tier,1.0,0.3,S6,76,-468.0,17.1,W1_IS,,
multi-tier,1.0,0.5,S1,74,-258.0,20.3,W1_IS,,
multi-tier,1.0,0.5,S2,60,524.0,21.7,W1_IS,,
multi-tier,1.0,0.5,S3,68,39.0,22.1,W1_IS,,
multi-tier,1.0,0.5,S4,60,940.0,25.0,W1_IS,,
multi-tier,1.0,0.5,S5,64,-330.0,18.8,W1_IS,,
multi-tier,1.0,0.5,S6,76,-468.0,17.1,W1_IS,,
multi-tier,2.0,0.15,S1,148,-609.0,19.6,W1_IS,,
multi-tier,2.0,0.15,S2,120,-36.0,19.2,W1_IS,,
multi-tier,2.0,0.15,S3,136,-289.0,21.3,W1_IS,,
multi-tier,2.0,0.15,S4,120,558.0,24.2,W1_IS,,
multi-tier,2.0,0.15,S5,128,-693.0,17.2,W1_IS,,
multi-tier,2.0,0.15,S6,152,-1094.0,15.1,W1_IS,,
multi-tier,2.0,0.3,S1,152,-219.0,22.4,W1_IS,,
multi-tier,2.0,0.3,S2,120,45.0,20.0,W1_IS,,
multi-tier,2.0,0.3,S3,140,98.0,24.3,W1_IS,,
multi-tier,2.0,0.3,S4,120,637.0,25.0,W1_IS,,
multi-tier,2.0,0.3,S5,132,-385.0,19.7,W1_IS,,
multi-tier,2.0,0.3,S6,156,-650.0,17.9,W1_IS,,
multi-tier,2.0,0.5,S1,156,89.0,24.4,W1_IS,,
multi-tier,2.0,0.5,S2,128,801.0,25.0,W1_IS,,
multi-tier,2.0,0.5,S3,144,406.0,26.4,W1_IS,,
multi-tier,2.0,0.5,S4,124,983.0,27.4,W1_IS,,
multi-tier,2.0,0.5,S5,136,-77.0,22.1,W1_IS,,
multi-tier,2.0,0.5,S6,164,106.0,22.0,W1_IS,,
multi-tier,3.0,0.15,S1,226,-466.0,21.2,W1_IS,,
multi-tier,3.0,0.15,S2,180,-169.0,18.9,W1_IS,,
multi-tier,3.0,0.15,S3,208,-140.0,23.1,W1_IS,,
multi-tier,3.0,0.15,S4,180,483.0,24.4,W1_IS,,
multi-tier,3.0,0.15,S5,196,-609.0,18.4,W1_IS,,
multi-tier,3.0,0.15,S6,232,-1007.0,16.4,W1_IS,,
multi-tier,3.0,0.3,S1,234,-55.0,23.9,W1_IS,,
multi-tier,3.0,0.3,S2,188,389.0,22.9,W1_IS,,
multi-tier,3.0,0.3,S3,216,270.0,25.9,W1_IS,,
multi-tier,3.0,0.3,S4,184,714.0,26.1,W1_IS,,
multi-tier,3.0,0.3,S5,204,-198.0,21.6,W1_IS,,
multi-tier,3.0,0.3,S6,244,-207.0,20.9,W1_IS,,
multi-tier,3.0,0.5,S1,242,-31.0,24.4,W1_IS,,
multi-tier,3.0,0.5,S2,196,361.0,23.5,W1_IS,,
multi-tier,3.0,0.5,S3,224,289.0,26.3,W1_IS,,
multi-tier,3.0,0.5,S4,192,632.0,26.6,W1_IS,,
multi-tier,3.0,0.5,S5,212,-92.0,22.6,W1_IS,,
multi-tier,3.0,0.5,S6,252,-137.0,21.4,W1_IS,,
stop-ext,,,S1,43,-220.0,0.0,W1_IS,0.0,1.5
