fold,stream,alpha,f1,fired,np,wr
W1_IS,S1,0.5,600,54,22.0,22.2
W1_IS,S2,0.5,600,46,1108.0,28.3
W1_IS,S3,0.5,600,50,237.0,24.0
W1_IS,S4,0.5,600,42,1100.0,28.6
W1_IS,S5,0.5,600,52,132.0,23.1
W1_IS,S6,0.5,600,62,116.0,21.0
W1_IS,S1,0.5,1800,74,-258.0,20.3
W1_IS,S2,0.5,1800,60,524.0,21.7
W1_IS,S3,0.5,1800,68,39.0,22.1
W1_IS,S4,0.5,1800,60,940.0,25.0
W1_IS,S5,0.5,1800,64,-330.0,18.8
W1_IS,S6,0.5,1800,76,-468.0,17.1
W1_IS,S1,0.6,600,54,-746.0,18.5
W1_IS,S2,0.6,600,46,214.0,23.9
W1_IS,S3,0.6,600,50,-495.0,20.0
W1_IS,S4,0.6,600,42,242.0,23.8
W1_IS,S5,0.6,600,52,-525.0,19.2
W1_IS,S6,0.6,600,62,-853.0,17.7
W1_IS,S1,0.6,1800,74,-1015.0,17.6
W1_IS,S2,0.6,1800,60,-370.0,18.3
W1_IS,S3,0.6,1800,68,-682.0,19.1
W1_IS,S4,0.6,1800,60,94.0,21.7
W1_IS,S5,0.6,1800,64,-987.0,15.6
W1_IS,S6,0.6,1800,76,-1437.0,14.5
W1_IS,S1,0.7,600,54,-1213.0,14.8
W1_IS,S2,0.7,600,46,-359.0,19.6
W1_IS,S3,0.7,600,50,-965.0,16.0
W1_IS,S4,0.7,600,42,-321.0,19.0
W1_IS,S5,0.7,600,52,-997.0,15.4
W1_IS,S6,0.7,600,62,-1406.0,14.5
W1_IS,S1,0.7,1800,74,-1472.0,14.9
W1_IS,S2,0.7,1800,60,-766.0,16.7
W1_IS,S3,0.7,1800,68,-1141.0,16.2
W1_IS,S4,0.7,1800,60,-459.0,18.3
W1_IS,S5,0.7,1800,64,-1459.0,12.5
W1_IS,S6,0.7,1800,76,-1799.0,13.2
W1_OOS,S1,0.5,600,18,1072.0,44.4
