fold,stream,fractal,parent_sls,parent_np,hedge_fired,hedge_np,hedge_wr
W1_IS,S1,OFF,49,5655.0,74,-258.0,20.3
W1_IS,S2,OFF,36,7193.0,60,524.0,21.7
W1_IS,S3,OFF,46,5389.0,68,39.0,22.1
W1_IS,S4,OFF,38,5062.0,60,940.0,25.0
W1_IS,S5,OFF,41,3805.0,64,-330.0,18.8
W1_IS,S6,OFF,47,8702.0,76,-468.0,17.1
W1_IS,S1,ON_w5,49,5655.0,62,-338.0,19.4
W1_IS,S2,ON_w5,36,7193.0,56,-1460.0,7.1
W1_IS,S3,ON_w5,46,5389.0,60,-286.0,20.0
W1_IS,S4,ON_w5,38,5062.0,54,-435.0,18.5
W1_IS,S5,ON_w5,41,3805.0,54,-347.0,18.5
W1_IS,S6,ON_w5,47,8702.0,66,-1848.0,6.1
W1_OOS,S1,OFF,24,3761.0,30,1848.0,46.7
W1_OOS,S2,OFF,23,3208.0,32,1282.0,37.5
W1_OOS,S3,OFF,24,3761.0,30,1848.0,46.7
W1_OOS,S4,OFF,19,3538.0,22,707.0,31.8
W1_OOS,S5,OFF,19,2839.0,26,1936.0,53.8
W1_OOS,S6,OFF,28,3748.0,42,1880.0,38.1
W1_OOS,S1,ON_w5,24,3761.0,28,1650.0,46.4
W1_OOS,S2,ON_w5,23,3208.0,32,1162.0,34.4
W1_OOS,S3,ON_w5,24,3761.0,28,1650.0,46.4
W1_OOS,S4,ON_w5,19,3538.0,20,468.0,30.0
W1_OOS,S5,ON_w5,19,2839.0,24,1760.0,54.2
W1_OOS,S6,ON_w5,28,3748.0,42,1754.0,35.7
W2_IS,S1,OFF,47,6127.0,68,2030.0,30.9
W2_IS,S2,OFF,40,6322.0,64,2260.0,32.8
W2_IS,S3,OFF,45,6423.0,64,2206.0,32.8
W2_IS,S4,OFF,38,5190.0,56,1273.0,28.6
W2_IS,S5,OFF,37,5134.0,58,2255.0,34.5
W2_IS,S6,OFF,48,8774.0,78,2640.0,29.5
W2_IS,S1,ON_w5,47,6127.0,60,2423.0,38.3
W2_IS,S2,ON_w5,40,6322.0,60,1312.0,25.0
