rank,prof_count,total_np,np_dd_ratio,range_minutes,fixed_sl_pts,rr_ratio,half_tp_ratio,pending_expire_minutes,fractal_confirm,fractal_width
1,4,62918.9000000001,3535.782302792829,90,550,4.0,0.4,240,True,5
2,4,51839.60000000056,3497.7973492288047,90,400,3.5,0.4,240,True,5
3,4,52130.10000000016,3110.796514952818,90,550,3.5,0.4,240,True,5
4,4,46025.60000000008,3165.2387931395083,90,400,3.0,0.4,240,True,5
5,4,39578.0,2901.833376773852,90,400,2.5,0.4,240,True,5
6,4,39300.25,3341.636342751226,90,550,2.5,0.4,240,True,5
7,3,58300.0,2184.0102044228734,60,550,4.0,0.0,240,True,5
8,3,43156.0,1803.6167949546941,60,400,4.0,0.0,240,True,5
9,3,39660.0,1744.5946548649497,60,400,3.0,0.0,240,True,5
10,3,48897.75,2148.669217053971,60,550,3.5,0.0,240,True,5
11,3,42054.0,1941.5631068688526,60,400,2.5,0.0,240,True,5
12,3,48039.20000000003,2341.4392210145666,60,550,4.0,0.4,240,True,5
13,3,60328.0,2862.1558159547135,90,400,3.0,0.0,240,True,5
14,3,32872.79999999967,1528.6773138149038,60,400,4.0,0.4,240,True,5
15,3,43618.849999999584,2584.290064564087,60,550,3.5,0.4,240,True,5
16,3,33491.999999999905,1771.955731854678,60,400,3.5,0.4,240,True,5
17,3,50432.0,2690.0726931659224,90,400,2.5,0.0,240,True,5
18,3,28862.399999999943,1686.8610489656146,60,400,3.0,0.4,240,True,5
19,3,27854.0,1520.6284757504945,60,400,2.5,0.4,240,True,5
20,3,29374.79999999999,1247.1148770939183,60,700,3.5,0.4,240,True,5
