rank,prof_count,total_np,np_dd_ratio,range_minutes,fixed_sl_pts,rr_ratio,half_tp_ratio,pending_expire_minutes
1,4,54761.30000000042,3875.371198741138,90,550,4.0,0.2,720
2,4,51839.60000000056,3497.7973492288047,90,400,3.5,0.4,240
3,4,51637.30000000047,4038.936328052283,90,550,4.0,0.2,480
4,4,46999.700000000434,3587.287394050245,90,550,4.0,0.2,240
5,4,40729.700000000405,3631.7539343795147,90,550,2.0,0.4,720
6,3,58615.60000000047,3317.2338153969868,90,400,3.5,0.4,1440
7,3,60386.40000000035,3712.519982171455,90,400,3.5,0.4,720
8,3,57352.80000000046,3789.508197923597,90,400,3.5,0.4,480
9,3,58113.2000000004,3729.0704234754644,90,400,3.5,0.4,360
10,3,50007.20000000044,3188.8887854256654,90,400,4.0,0.2,720
11,3,53356.7999999999,3366.814423454184,90,400,3.0,0.4,720
12,3,49409.80000000038,3422.627071423506,90,550,4.0,0.2,360
13,3,37691.59999999997,2529.795994973239,90,400,3.5,0.2,360
14,3,43887.25,3302.411099892442,90,550,2.5,0.4,720
15,3,43628.75,3351.9450361742784,90,550,2.5,0.4,360
